ranking, punk_image, id, minscore, 2nd, category
68,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9955.png" width="72" height="72">","9955",0.030000000000,3.0000000000,0.8800000000,3.3300000000,Shaved Head 3.0000,Zombie,Zombie,0.0075927529688880164886471409
69,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9474.png" width="72" height="72">","9474",0.030300000000,3.0300000000,0.8800000000,3.3300000000,Peak Spike 3.0300,Zombie,Zombie,0.0076655131798520780012257020
70,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk7660.png" width="72" height="72">","7660",0.023800000000,3.0000000000,0.8800000000,35.6000000000,"Smile 2.3800,Do-rag 3.0000",Zombie,Zombie,0.0080892402074868621004310739
71,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9804.png" width="72" height="72">","9804",0.023800000000,3.7800000000,0.8800000000,14.2000000000,"Smile 2.3800,Small Shades 3.7800,Stringy Hair 4.6300,Shadow Beard 5.2600",Zombie,Zombie,0.0080941602568436195768717697
72,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6586.png" width="72" height="72">","6586",0.023800000000,4.1900000000,0.8800000000,35.6000000000,"Smile 2.3800,Knitted Cap 4.1900",Zombie,Zombie,0.0081068774367106333325309757
73,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk5066.png" width="72" height="72">","5066",0.023800000000,4.1900000000,0.8800000000,45.0100000000,"Smile 2.3800,Knitted Cap 4.1900,Earring 24.5900",Zombie,Zombie,0.0081079740510144303584974065
74,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9997.png" width="72" height="72">","9997",0.025400000000,2.7300000000,0.8800000000,35.6000000000,"Cap Forward 2.5400,Front Beard 2.7300",Zombie,Zombie,0.0086061817660366912113125289
75,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6491.png" width="72" height="72">","6491",0.025400000000,5.2600000000,0.8800000000,45.0100000000,"Cap Forward 2.5400,Shadow Beard 5.2600,Earring 24.5900",Zombie,Zombie,0.0086446611171046677487383088
76,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2132.png" width="72" height="72">","2132",0.025900000000,2.8900000000,0.8800000000,45.0100000000,"Hoodie 2.5900,Normal Beard Black 2.8900,Nerd Glasses 5.7200",Zombie,Zombie,0.0087748512122167588861274047
77,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9838.png" width="72" height="72">","9838",0.026000000000,3.0300000000,0.8800000000,45.0100000000,"Front Beard Dark 2.6000,Peak Spike 3.0300,Earring 24.5900",Zombie,Zombie,0.0088109801583923183780122300
78,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9909.png" width="72" height="72">","9909",0.035100000000,3.5100000000,0.8800000000,3.3300000000,Cap 3.5100,Zombie,Zombie,0.0088215562293322885574890162
79,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6649.png" width="72" height="72">","6649",0.026000000000,4.1400000000,0.8800000000,35.6000000000,"Front Beard Dark 2.6000,Crazy hair 4.1400",Zombie,Zombie,0.0088292384913766551253008478
80,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk0117.png" width="72" height="72">","0117",0.026000000000,4.6000000000,0.8800000000,35.6000000000,"Front Beard Dark 2.6000,Messy Hair 4.6000",Zombie,Zombie,0.0088345911148894430637958698
81,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk1748.png" width="72" height="72">","1748",0.026100000000,2.7300000000,0.8800000000,45.0100000000,"Frown 2.6100,Front Beard 2.7300,Knitted Cap 4.1900",Zombie,Zombie,0.0088355503819113093235890197
82,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9368.png" width="72" height="72">","9368",0.025900000000,24.5900000000,0.8800000000,35.6000000000,"Hoodie 2.5900,Earring 24.5900",Zombie,Zombie,0.0088408537905130484210696224
83,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk3393.png" width="72" height="72">","3393",0.026100000000,4.1400000000,0.8800000000,35.6000000000,"Frown 2.6100,Crazy hair 4.1400",Zombie,Zombie,0.0088619950472291896045219281
84,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2424.png" width="72" height="72">","2424",0.026100000000,4.8100000000,0.8800000000,45.0100000000,"Frown 2.6100,Bandana 4.8100,Earring 24.5900",Zombie,Zombie,0.0088708207799502777675307715
85,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6784.png" width="72" height="72">","6784",0.026100000000,4.8100000000,0.8800000000,45.0100000000,"Frown 2.6100,Bandana 4.8100,Cigarette 9.6100",Zombie,Zombie,0.0088708207799502777675307715
